Driving Task: assets/DrivingTasks/Projects/init_drive/init_drive.xml
Creation Time: 2023-01-23 11:20:37.430
Driver: TestDriver
Used Format = Time (ms) : Timestamp : Position (x,y,z) : Rotation (x,y,z,w) : Speed (km/h) : Steering Wheel Position [-1,1] : Gas Pedal Position : Brake Pedal Position : Engine Running : Front Position(x,y,z) : Reference Objects
1674469240889:2023-01-23 11.20.40.889:-805.59937:0.13601632:96.09634:3.6920232E-4:0.7070872:-3.6897845E-4:0.7071261:47.54:1.3930093E-5:0.0:0.0:false:-820.5553:1.151676:96.09551:[]
1674469240942:2023-01-23 11.20.40.942:-806.2601:0.13601658:96.0963:3.6910517E-4:0.7070885:-3.688665E-4:0.7071248:47.58:1.38809655E-5:0.0:0.0:false:-821.21594:1.1516713:96.09553:[]
1674469240996:2023-01-23 11.20.40.996:-806.92126:0.13601667:96.09626:3.6896422E-4:0.70708966:-3.6872164E-4:0.70712364:47.61:1.3822456E-5:0.0:0.0:false:-821.8772:1.1516662:96.095535:[]
1674469241044:2023-01-23 11.20.41.044:-807.5829:0.13601664:96.09622:3.6874966E-4:0.70709085:-3.6849725E-4:0.70712245:47.65:1.37718625E-5:0.0:0.0:false:-822.53876:1.1516563:96.09556:[]
1674469241096:2023-01-23 11.20.41.096:-808.245:0.13601664:96.09618:3.6860345E-4:0.7070922:-3.6835388E-4:0.7071212:47.68:1.3720597E-5:0.0:0.0:true:-823.20087:1.1516504:96.09557:[]
1674469241149:2023-01-23 11.20.41.149:-808.90765:0.13601668:96.096146:3.6841576E-4:0.7070933:-3.6817242E-4:0.70712:47.72:1.3660002E-5:0.0:0.0:true:-823.86346:1.1516424:96.09559:[]
1674469241203:2023-01-23 11.20.41.203:-809.5708:0.13601676:96.09611:3.683679E-4:0.7070946:-3.6814425E-4:0.7071187:47.75:1.3615861E-5:0.0:0.0:true:-824.52655:1.1516402:96.095604:[]
1674469241256:2023-01-23 11.20.41.256:-810.23444:0.1360168:96.09611:3.6834434E-4:0.70709574:-3.6812972E-4:0.70711756:47.79:1.3553844E-5:0.0:0.0:true:-825.1902:1.1516403:96.09564:[]
1674469241303:2023-01-23 11.20.41.303:-810.8987:0.1344757:96.09611:7.595616E-4:0.70709664:-7.593056E-4:0.7071161:47.83:1.3499693E-5:0.0:0.0:true:-825.8543:1.1670225:96.095695:[]
1674469241357:2023-01-23 11.20.41.357:-811.5634:0.13494118:96.09611:6.3719065E-4:0.707098:-6.368971E-4:0.70711493:47.87:1.3444793E-5:0.0:0.0:true:-826.51904:1.1626383:96.09574:[]
